titre,nbre_pièces,mètre_carré,ville,description,type_de_bien
Paris 11 Bastille - square trousseau - studio,1 Pièce,28 m²,Paris 75011 11e Arrondissement,"Face au square trousseau et à proximité immédiate des commerces du Faubourg Saint Antoine.
Nous vous proposons au sein d'une copropriété entretenue, un studio situé en 1er étage au calme sur cour.
Il se compose d'une entrée d'une pièce de réception et d'une salle de douche.
Des travaux sur les cours intérieures, les parties communes ont été récemment votés et exécutés.
Je suis à votre disposition pour vous présenter ce bien.

06.68.07.82.47",Ancien
Appartement 2 pièces 53 m²,2 Pièces,53 m²,Paris 75014,"Grand 2 pièces avec vue dégagée

PARIS 14, porte Didot, a proximité de tram et métro 13, l'agence ORPI vous propose dans une résidence de 1970, bien entretenue avec gardien , un grand  2 pièces de 53 m2 en étage élevé exposé Ouest, composé d'une entrée avec placard, séjour, chambre, grande cuisine dinatoire ( avec possibilité d'ouverture), salle de bains, wc séparé, débarras, cave. Clair, calme et ensoleillé. Bon  état. Proche commerces.
Référence annonce : E1VF10
Les honoraires sont à la charge du vendeur

A propos de la copropriété :
Nombre de lots : 163
Charges prévisionnelles annuelles : 3000 €",Appartement
Appartement 5 pièces 95 m²,5 Pièces,95 m²,Paris 75020,"Paris 20 Alexandre Dumas - 4-5 pièces 95m2 avec 2 balcons de 7m2

A proximité de toutes les commodités et situé à équidistance des lignes 2 et 9, venez découvrir cet appartement familial, traversant et plein de potentiel en étage avec ascenseur dans une résidence récente et sécurisée avec jardin. D'une surface de 95 m² , il se compose d'une entrée avec placards, d'un séjour avec balcon, une cuisine séparée, 3 à 4 chambres sur jardin (calme) selon configuration dont une avec balcon, une salle de bain (salle d'eau supplémentaire envisageable) et un WC séparé. Une cave et une place de parking boxée en sous-sol viennent compléter ce bien. Idéal familles, à visiter sans tarder! dont 3.38 % honoraires TTC à la charge de l'acquéreur. Copropriété de 141 lots (Pas de procédure en cours).    Charges annuelles : 3400 euros.
Référence annonce : 360
Le prix indiqué comprend les honoraires à la charge de l'acheteur : 3,38% TTC du prix du bien hors honoraires
Prix hors honoraires : 740 000 €

A propos de la copropriété :
Nombre de lots : 141
Charges prévisionnelles annuelles : 3400 €",Appartement
Appartement ANDRESY- 3 pièces - 67m2,3 Pièces,67 m²,Andrésy 78570,"ANDRÉSY à quelques pas des Quais de Seine - dans une résidence de standing au calme et à proximité immédiate des écoles/collège et des transports, dans un parc arboré avec gardien, un appartement T3 d’environ 67 m2 avec ascenseur. 

Il vous offre : une entrée avec placard intégré, beau séjour avec balcon exposé SUD ouest, cuisine aménagée, deux chambres avec placards intégrés, salle bains et wc individuel. 
Aucun travaux à prévoir. 

Cave et place de parking privative en sous-sol fermé. 

Agence immobilière s’abstenir.",Ancien
Grand appartement 2 pièces - 56 m2 - Place de Parking - Quartier Garibaldi,2 Pièces,56 m²,Saint-Ouen-sur-Seine 93400 Saint-Ouen,"À Saint-Ouen (93400), dans le quartier Garibaldi, bel appartement 2 pièces de 56 m² avec place de parking fermée

Il est situé au rez de chaussée (dans une impasse) d’une petite co-popriété achevé en mars 2017 (6 appartements).  Il est composé : d’une entrée, un séjour avec une grande cuisine équipée, une chambre, une salle de bain avec WC.
L'appartement dispose du double vitrage, il est en très bon état.

Situé proche de toutes commodités station de métro Garibaldi (ligne 13) à 4 minutes à pied et métro Marie de Saint Ouen (ligne 13 et 14) à 10 minutes à pied.

Faibles charges : Les charges de copropriété sont 93€/mois. La taxe foncière est de 1147,00€.

Agence s’abstenir",Appartement
2 pièces de charme quartier du vieux Puteaux,2 Pièces,43 m²,Puteaux 92800,"2 pièces plein de charme situé 91 rue Voltaire dans le quartier du Vieux Puteaux. 43,11m² carrez et 48m² au sol, il se compose d'une entrée desservant une grande pièce à vivre de 28m² avec cuisine ouverte et cheminée, une chambre avec salle de bain et de toilettes séparées. 

Au 1er étage sur une belle cour pavée, dans une copropriété elle aussi pleine de charme, il est à la fois très au calme et très lumineux grâce à ses larges fenêtres et ses 2,90m de hauteur sous plafond. Nombreux rangements, une cave. Quelques rafraichissements à prévoir. Charges 1344€/an",Ancien
Maison 4 pièces 140 m²,4 Pièces,140 m²,Boissise-la-Bertrand 77350,"Dans village bords de Seine proche toutes commodités, venez découvrir cette charmante longère cachée derrière ses hauts murs, vous découvrirez le rez de chaussée voué à la réception au coin du feu ou ouvert sur le jardin en été, et au premier étage 2 chambres, salle de bains et toilettes, combles aménageables et cave voûtée sous la maison complétent ce bien, ainsi qu'une dépendance au fond du jardin.
Honoraires à la charge du vendeur
Votre agent commercial 3G IMMO-CONSULTANT sur place Martine CREEL Inscrite au RSAC de MELUN 417 814 431, Tel : 06 81 21 86 46
Référence annonce : 133985MC-1462365295
Les honoraires sont à la charge du vendeur",Maison
Appartement 2 pièces 47 m²,2 Pièces,47 m²,Boulogne-Billancourt 92100,"Appartement Boulogne Billancourt 2pièce(s) 47.10 m2

Métro Marcel Sembat - rue Reinhardt  - dans un immeuble ancien grand 2 pièces au 3ème et dernier étage comprenant : entrée, double séjour avec cuisine aménagée de 27 M2 trois fenêtres en double vitrage,1 chambre possibilité 2 , grande salle d'eau avec fenêtre, buanderie, wc séparé.. L'ensemble en excellent état, parquet, double exposition sur les toits  sans vis à vis.. Cave
Référence annonce : E1VKXT
Le prix indiqué comprend les honoraires à la charge de l'acheteur : 2,22% TTC du prix du bien hors honoraires
Prix hors honoraires : 450 000 €

A propos de la copropriété :
Nombre de lots : 5
Charges prévisionnelles annuelles : 1480 €",Appartement
Maison 8 pièces 180 m²,8 Pièces,180 m²,Dammarie-les-Lys 77190,"DAMMARIE LES LYS, proche de toutes les commodités nécessaires à une grande famille, pour vous qui êtes sensible au charme d'antan associé au confort moderne, vous apprécierez cette vaste maison qui offre au rez de chaussée des pièces de réception et une suite parentale, 3 chambres au 1er étage, toilettes et salle de bains et au 2ème étage nouvellement aménagé 2 vastes pièces que vous pourrez utiliser au gré de vos besoins, soit en chambres, soit en bureaux. Le tout sur une terrain clos de murs avec garage et abri de jardin.
Pour plus de détails, n'hésitez pas à m'appeler.
Honoraires à la charge du vendeur
Votre agent commercial 3G IMMO-CONSULTANT sur place Martine CREEL Inscrite au RSAC de MELUN 417 814 431, Tel : 06 81 21 86 46
Référence annonce : 139218MC-1462369516
Les honoraires sont à la charge du vendeur",Maison
Pavillon 5 pièces 110 m²,5 Pièces,110 m²,Dammartin-sur-Tigeaux 77163,"Maison 5pièces 150m²

Vous chercher une maison FRANCE CONFORTqui  respecte la RT2012, avec des prestations qualitatives nouvelles générations (plancher chauffant, pompe à chaleur,...) peu énergivore...tout à  l'égout.

Vous en avez assez du tumulte des grandes agglomérations et vous recherchez un cadre buccolique et paisible pour votre famille....

Alors cette maison est pour vous....

Trés rare, elle possède des chambres de plus de 10m²

 A 5 minutes de Crecy la Chapelle, à 30 minutes de VAL D'EUROPE et  à 45 minutes de PARIS par A4.

Venez découvrir cette maison dans un lotissement récent, à 5 minutes des écoles à pied.

Cette maison de 150m² construite sur un vide sanitaire, vous séduira par sa disposition et ses volumes : un salon lumineux ouvert sur sa cuisine, avec accès à un grand jardin d environ 700m² sans vis à vis, un cellier et un garage.

A l'étage quatre belles chambres dont une suite parentale acceuillera votre famille. Vous vous reveillerez le matin au chant des oiseaux et  ouvrirez vos volets sur un vue imprenable sur la campagne et votre jardin.

 Vous disposerez aussi d'une salle de bain et un wc séparé.

Si vous voulez encore plus d'espace, les combles sont aménageables

Qui dit RT2012 dit prestations DE QUALITES (plancher chauffant,  pompe à chaleur...)et DPE en A.

de plusqui dit récente dit ' garantie decennale'

 A VOS TELEPHONES!!!!visite 360° sur demande

 -------------------------------------------------------------------

Cette annonce immobilière est rédigée sous la responsabilité de votre agent commercial.

Pour un maximum de sécurité, votre conseiller BL Agents organise son travail dans le plus strict respect des règles sanitaires.

------------------------------------------------------------------

Envie de changer de carrière professionnelle, BL Agents recrute partout en France, parlons-en.

 Contactez Valérie POIRET au 06 41 60 86 52. N° RSAC : 842 995 144 MEAUX
Référence annonce : 16533
Les honoraires sont à la charge du vendeur",Maison
Appartement COUP DE COEUR 2/3p (59m2 + 23m2) - SAINT MAUR/LA VARENNE ST HILAIRE,3 Pièces,82 m²,Saint-Maur-des-Fossés 94210 La Varenne Saint-Hilaire,"Situé dans le quartier de Champignol au paysage urbain et à l'ambiance huppée, l'appartement est situé dans une maison d'architecte en pierres meulières. Il dispose aux alentours de divers services et infrastructures de transports, de commerces, d'éducation et de santé.

Ce 2/3 pièces de 59m² Loi Carrez est vendu avec ses deux espaces supplémentaires et indépendants au sous-sol. Ils sont intégralement aménagés en buanderie/atelier (10 m²) et en chambre d'appoint/salle de sport/bureau pour télétravail (13 m²). 
- Les plus : présence d'une petite fenêtre double vitrage dans chacune des pièces / la hauteur sous plafond est respectivement de 2m et 1m95.

Ce bien rare saura vous séduire par sa pièce à vivre lumineuse de 35 m², avec cuisine américaine totalement équipée, offrant une double exposition, dont un salon orienté plein Sud. Il est aussi composé d’une salle de bain moderne de 10 m² et d’une chambre de 15 m² avec cheminée et dressing intégré.

A 5 minutes à pieds du RER A (Champigny) et de la gare routière, métro Ligne 15 à venir à proximité, à 10 minutes à pieds des Bords de Marne, superbe luminosité grâce à son exposition et son puits de lumière, grands volumes sans aucune perte d'espace, prestations de grande qualité, voisinage calme et agréable !

Classe énergie = C & GES = D / Chauffage individuel au Gaz / Faibles charges annuelles de copropriété (syndic bénévole) / Aucun frais à prévoir (rénovation du bien en 2018/2019), aucun travaux copropriété.

Premier contact par messagerie Leboncoin SVP.
Agences et curieux : s'abstenir.
Photos anciennes / ameublement différent aujourd'hui",Ancien
Vente parking Paris 3,Paris 75003 3e Arrondissement,,,"Grande place de parking (1 voiture familiale + 1 moto), rue Froissart Paris 3, accessible par monte voiture.",Parking
Appartement T3 Dernier étage DOUBLE BALCON,3 Pièces,65 m²,Drancy 93700,"Exclusivité Bonaparte Promotion
A DRANCY PROCHE TRANSPORTS ET COMMERCES 

3 PIECES NEUF 65 M² AVEC DEUX TERRASSES DE 11.02 M² LE TOUT 

FRAIS DE NOTAIRE REDUITS ELIGIBLE PTZ ET TVA REDUITE

L’APPARTEMENT
Ce lumineux 3 pièces de 60 m² vous offre : 
Séjour Cuisine de 26 m² donnant sur une terrasse de 6.54 m², 2 chambres donnant sur une terrasse de 4.48m², une Salle de bains, 1 WC, et 1 parking en sous sol en sus.  

LES PRESTATIONS
Prestations haut de gamme : Sol PVC dans les pièces sèches, 
Harmonie de carrelage et faïence au choix…, 
Vidéophone, Visiophone, Garage à vélo, fibre optique,
Hall d’entrée dessinée par architecte d’intérieur
Garage à vélo
Parking privatif en sous-sol sécurisé en sus 

L’ENVIRONNEMENT :
Programme situé en centre ville
Proximité commerces , médecins, pharmacie etc.

TRANSPORTS
Transports variés accessibles à pied : 
Gare
Bus 

PRIX
Appartement à 230 000 € (TVA 5.5%)
Parking en sus obligatoire à  17 925 €

LES + BONAPARTE PROMOTION :
Direct Promoteur
Garantie Constructeur 10 ans
Frais de notaire à 2% au lieu de 8%
450 résidences en cours en IDF, plus de 10.000 appartements
Bien construit, achevé et dont la remise des clefs est possible sans délais
Le plus grand choix de résidences neuves en Ile de France

CONTACTEZ rapidement Votre conseiller POULAIN QUENTIN 06.98.69.99.69",Ancien
Vente studio 28m² Parmentier,1 Pièce,28 m²,Paris 75011 11e Arrondissement,"Vends studio meublé et habitable de suite dans le 11e arrondissement. Situé en plein coeur d'un quartier animé avec beaucoup de restaurants et de commerces de proximité, profitez de la vie parisienne tout en étant au calme en retrait de la rue passante. 

Immeuble de 1860, situé dans une petite cours arborée au coeur d'un passage parisien, vous serez séduit par ce appartement aux poutres apparentes et haut plafond (3m). 

Au premier étage sans ascenseur, l'appartement est composé d'un couloir qui intègre un placard de 2,5m de long et de 2m de haut, parfait pour  ranger toutes vos affaires. 

La salle de bain comprend en plus d'une douche et des WC un meuble sous vasque 2 tiroirs ainsi qu'une colonne de rangement. 

La pièce principale quant à elle est composée d'une cuisine de 3m de long aménagée et tout équipée (plaque vitrocéramiques, four micro-ondes, four, frigo et un peu de vaisselle), d'une belle cheminée fermée ainsi que d'un canapé coffre et d'une armoire lit (taille 160x200) avec matelas en mousse à mémoire de forme. 

L'appartement est orienté Nord mais l'absence de vis à vis en face, permet d'avoir une bonne luminosité. Les fenêtres on été refaites en 2018 et sont garanties 10 ans. 

L'appartement est à 330 000€ et le mobilier (lit, cuisine équipée, placard d'entrée et de cuisine...) 10 000€ inclus.  Les frais de notaire ne s'appliquant que sur le prix de l'appartement. 

Agences - diagnostiqueurs s'abstenir. Dossier sérieux uniquement (avec simulation de votre banque ou d'un courtier)

Transports - Métros à pieds
- Ligne 3 Parmentier : 4 min à 350m
- Ligne 2 Couronnes : 6 min à 600m
- Ligne 11 Goncourt : 8 min à 650m
- Ligne 5 et 9 Oberkampf : 10 min à 700m
- Ligne 8 : 13 min à 1km",Ancien
Appartement 2 pièces 47 m²,2 Pièces,47 m²,Viry-Châtillon 91170,"Dans un secteur calme et pavillonnaire recherché du plateau ,proche des commodités , transports, un bel appartement dans une petite résidence récente avec de faibles charges s, 2 pièces de 48 m² environ comprenant: Entrée, séjour avec cuisine ouverte équipée,une grande chambre, une salle de bains et WC séparé. a visiter sans tarder
Référence annonce : 15795705
Les honoraires sont à la charge du vendeur",Appartement
Appartement 3 pièces 63 m²,3 Pièces,63 m²,Draveil 91210,"F3 PROCHE RER C ET D  ET COMMERCES (Une visite virtuelle est disponible sur demande, veuillez nous contacter au 0169219219 afin de réserver votre visite virtuelle)

Votre agence Arthurimmo vous propose dans le secteur très recherché de la VILLA, dans une résidence récente et de standing ce beau F3 comprenant une entrée, un beau séjour lumineux donnant sur une terrasse exposée plein sud, une cuisine équipée ouverte sur le séjour, un dégagement desservant deux chambres sur jardin, une sde avec buanderie, WC et une place de parking au sous-sol. Les atouts de cet appartement sont nombreux : pas de travaux, lumineux, au calme, sa terrasse qui donne sur les jardins, à deux pas du port aux cerises, et moins de 10 minutes à pied du RER. A visiter sans tarder !!!
Référence annonce : 3472
Les honoraires sont à la charge du vendeur",Appartement
Maison 5 pièces 126 m²,5 Pièces,126 m²,Athis-Mons 91200,"maison 5p

Dans un quartier recherché « des plantes » venez visiter (virtuellement sur demande) cette maison édifiée sur un sous-sol total et sur un terrain de 396 m² qui comprend : une entrée, un bureau, un WC, une suite parentale avec sa sde et un WC, un couloir avec placard desservant une grande cuisine dinatoire entièrement équipée et un double séjour de plus de 40 m² avec cheminée et son accès direct par ses grandes baies vitrées sur la terrasse et le jardin. À l'étage vous trouverez une autre suite parentale avec sa sdb et un WC, une chambre avec placards. Le sous-sol total est entièrement carrelé et chauffé comprend 6 pièces dont une chaufferie / buanderie et une belle cave. Les atouts de cette maison sont nombreux comme la luminosité, la superficie de la pièce de vie, la cheminée, la climatisation réversible, la suite au rdc, le sous-sol, la qualité des matériaux, proximité des commerces, des écoles publics ou privées, de la ligne 7 du tramway, de l'aéroport et des grands axes routiers (sans les nuisances) à visiter sans tarder !!!!
Référence annonce : 4658862
Les honoraires sont à la charge du vendeur",Maison
Studio 1 pièce 22 m²,1 Pièce,22 m²,Vincennes 94300,"studio refait proche rer et centre ville

En exclusivité dans le secteur recherché de Vincennes au rdc d'une petite résidence calme et bien entretenue, venez visiter ce studio entièrement refait et qui comprend un salon avec verrière, une cuisine équipée avec coin repas, une sde avec WC, une belle chambre et une cave. Les atouts de ce studio sont la proximité des commerces, 2 min du RER A Station Vincennes, 5 min à pied du métro 1 Station Bérault, aucuns travaux à faire juste à poser vos valises !!!!  Bien rare sur le marché ... possibilité de la visiter virtuellement sur demande au 0169219219.
Référence annonce : 3480
Les honoraires sont à la charge du vendeur",Appartement
Appartement 4 pièces 80 m²,4 Pièces,80 m²,Juvisy-sur-Orge 91260,"F4 PROCHE RER ET CENTRE VILLE

Votre agence Arthurimmo vous propose dans une résidence tranquille proche RER du futur tram et du centre-ville, au 4ème étage ce 4 pièces très lumineux comprenant une entrée avec placards et ouverte sur un séjour double avec son accès à un grand balcon exposé sud-ouest, deux chambres avec placards, une cuisine lumineuse équipée. Les atouts sont nombreux pour ce F4, comme : De nombreux rangements, une cave et un box, à proximité de toutes commodités et de la gare (RER C & D accès à Paris, avec une ligne direct Juvisy -> Bibliothèque François Mitterrand en 13 minutes environ et la ligne D à 20min de la Gare de Lyon). A visiter sans tarder !!!
Référence annonce : 4933313
Les honoraires sont à la charge du vendeur",Appartement
Appartement 3 pièces 52 m²,3 Pièces,52 m²,Juvisy-sur-Orge 91260,"F3 proche RER C&D et commerces

votre agence Arthurimmo vous propose au 4ème et dernier  étage d'un petit immeuble en meulière avec de faibles charges un F3 comprenant : un entrée, une cuisine équipée, deux chambres dont une avec placard, un séjour lumineux , une sde et un wc séparé ,  une cave. Les atouts de cet appartement pas de travaux à prévoir, à deux minute à pieds du RER , commerces, écoles , maternelle et du parc le ""port aux cerises"" , à visiter sans tarder
Référence annonce : 4828169
Les honoraires sont à la charge du vendeur

A propos de la copropriété :
Nombre de lots : 11
Charges prévisionnelles annuelles : 1236 €",Appartement
Appartement style Loft 83m2 + terrasse 30m2,2 Pièces,78 m²,Melun 77000,"A SAISIR !
Coeur du CENTRE VILLE DE MELUN Rue Piétonne 
2680 €/m2 (inférieur à la moyenne du secteur)
RARE SUR LE SECTEUR Grand LOFT en duplex 78M2 (loi carrez) avec grande terrasse de 30m2
Taxe foncière 2020 : 1037 € (13,29€/m2)
faibles charges comprenant l'eau : 90€/mois
FIBRE OPTIQUE OK
parking en sous sol (en sus)

 ""Coup de coeur assuré"" pour ce beau Loft moderne avec beaux volumes et poutres métalliques. Situé dans quartier très recherché du centre ville proche tout commerces (rue piétonne proche place Jacques Amyot)   beau loft moderne de 83 m2 (78 m2 en loi carrez)
 +++ rare en centre-ville grande terrasse de 30 m2. 
grande pièce à vivre composée d'un grand séjour lumineux de 50 m2 avec parquet bois et cuisine ouverte équipée avec son îlot central. une buanderie et un wc indépendant avec lave main complète le rez de chaussé donnant sur une grande terrasse de 30m2.
à l'étage une grande chambre de 16 m2 (loi carrez) ouverte en mezzanine avec parquet bois, climatisation réversible (très économique) un grand dressing indépendant de 6m2 
belle salle de bain composée de toilette, d'une douche et d'une baignoire d'angle et double vasque. 
velux et volets roulants à commandes électriques chauffage électrique (classe Énergétique B)
Aucun travaux à prévoir, matériaux de qualité 
NB  : pas de possibilité de 2ème chambre

AGENCES ET PROFESSIONNELS S'ABSTENIR",Appartement
Appartement F3 Le Pecq 92m²,3 Pièces,92 m²,Le Vésinet 78110,"**Duplex sur les bords de Seine, refait à neuf de 71 m²** loi carrez et 92 m² surface au sol au Pecq quartier cité situé dans un petit immeuble de 2 étages.
**Double séjour de 45 m² avec sa cuisine équipée**, 1 WC au 1er étage, 2 chambres et salle de bain (baignoire, douche et wc) au 2ème étage.
L'appartement possède aussi une terrasse de 40 m²
Vue sur la Seine et aucun vis-à-vis.
Possibilité de créer une pièce supplémentaire de 15m² sur la terrasse en respectant le PLU.
Rafraîchissement de la façade côté EST de l'immeuble déjà payé et prévu en Mai 2021.
Gare (Le Vésinet-Le Pecq ou St-Germain-en-Laye) de RER A à 15 min à pied ou bus à 2 min.
Mairie, commerces, crèche et école à moins de 10 min à pied.
Faibles Charges de copropriété mensuelle : 50 EUR (pas de procédure en cours).
Taxe foncière : 550 EUR environ
Chauffage au gaz individuel
Pas de cave
Pas de place de stationnement mais possibilité de se garer gratuitement à moins de 50 mètres du logement.
!!Professionnel de l'immobilier s'abstenir, le bien est en exclusivité !!",Appartement
